essay_id,category,topic,sentence_count,char_count
essay_009,human_esl,technology_communication,9,1865
essay_010,human_esl,education_learning,21,2507
essay_011,human_esl,work_employment,20,2244
essay_012,human_esl,environment_sustainability,17,2040
essay_013,human_esl,government_policy,16,2305
essay_014,human_esl,social_issues,10,1211
essay_015,human_esl,art_culture,18,2166
essay_016,human_esl,technology_communication,19,2155
essay_017,human_esl,education_learning,21,2191
essay_018,human_esl,work_employment,16,2156
essay_019,human_esl,environment_sustainability,23,2509
essay_020,human_esl,government_policy,16,1935
essay_001,ai_generated,technology_society,9,1537
essay_002,ai_generated,education_policy,12,1651
essay_003,ai_generated,environment,17,2169
essay_004,ai_generated,health_lifestyle,15,1798
essay_005,ai_generated,urban_planning,7,798
essay_006,ai_generated,technology_society,11,1615
essay_007,ai_generated,education_policy,5,817
essay_008,ai_generated,electoral_systems,11,983
essay_009,ai_generated,environment,14,1522
essay_010,ai_generated,health_lifestyle,18,2331
essay_011,ai_generated,technology_society,9,1294
essay_012,ai_generated,education_policy,17,2280
essay_013,ai_generated,urban_planning,8,1232
essay_014,ai_generated,environment,14,1406
essay_015,ai_generated,health_lifestyle,5,748
essay_016,ai_generated,technology_society,6,968
essay_017,ai_generated,education_policy,25,1872
essay_018,ai_generated,electoral_systems,13,1694
essay_019,ai_generated,environment,23,2877
essay_020,ai_generated,health_lifestyle,18,2057
essay_021,ai_generated,technology_society,6,721
essay_022,ai_generated,education_policy,12,1780
essay_023,ai_generated,urban_planning,8,833
essay_024,ai_generated,environment,19,2512
essay_025,ai_generated,health_lifestyle,10,1167
essay_026,ai_generated,technology_society,11,1133
essay_027,ai_generated,education_policy,9,1105
essay_028,ai_generated,electoral_systems,14,1516
essay_029,ai_generated,environment,6,1098
essay_030,ai_generated,health_lifestyle,24,1960
essay_031,ai_generated,technology_society,5,696
essay_032,ai_generated,education_policy,6,843
essay_033,ai_generated,urban_planning,8,1033
essay_034,ai_generated,environment,8,1217
essay_035,ai_generated,health_lifestyle,12,1384
essay_036,ai_generated,technology_society,16,2250
essay_037,ai_generated,education_policy,16,2178
essay_038,ai_generated,electoral_systems,10,1427
essay_039,ai_generated,environment,7,759
essay_040,ai_generated,health_lifestyle,9,1834
essay_041,ai_generated,technology_society,25,3150
essay_042,ai_generated,education_policy,14,1258
essay_043,ai_generated,urban_planning,9,1070
essay_044,ai_generated,environment,12,1173
essay_045,ai_generated,health_lifestyle,15,2208
essay_046,ai_generated,technology_society,13,2241
essay_047,ai_generated,education_policy,12,1787
essay_048,ai_generated,electoral_systems,7,914
essay_049,ai_generated,environment,23,2562
essay_050,ai_generated,health_lifestyle,8,1403
essay_051,ai_generated,technology_society,22,3184
essay_052,ai_generated,education_policy,11,1605
essay_053,ai_generated,urban_planning,11,1809
essay_054,ai_generated,environment,19,2329
essay_055,ai_generated,health_lifestyle,7,912
essay_056,ai_generated,technology_society,13,1658
essay_057,ai_generated,education_policy,15,1659
essay_058,ai_generated,electoral_systems,8,1093
essay_059,ai_generated,environment,14,1417
essay_060,ai_generated,health_lifestyle,18,2141
essay_061,ai_generated,technology_society,12,1903
essay_062,ai_generated,education_policy,24,2225
essay_063,ai_generated,urban_planning,5,882
essay_064,ai_generated,environment,7,1066
essay_065,ai_generated,health_lifestyle,11,1464
essay_066,ai_generated,technology_society,5,673
essay_067,ai_generated,education_policy,4,610
essay_068,ai_generated,electoral_systems,11,1393
essay_069,ai_generated,environment,5,496
essay_070,ai_generated,health_lifestyle,17,1776
essay_071,ai_generated,technology_society,12,1413
essay_072,ai_generated,education_policy,6,880
essay_073,ai_generated,urban_planning,12,1161
essay_074,ai_generated,environment,29,3834
essay_075,ai_generated,health_lifestyle,23,1959
essay_076,ai_generated,technology_society,16,2239
essay_077,ai_generated,education_policy,20,2670
essay_078,ai_generated,electoral_systems,9,962
essay_079,ai_generated,environment,15,1740
essay_080,ai_generated,health_lifestyle,12,1269
essay_001,hybrid,technology_society,8,1054
essay_002,hybrid,education_policy,9,1475
essay_003,hybrid,environment,9,961
essay_004,hybrid,health_lifestyle,3,383
essay_005,hybrid,urban_planning,10,1317
essay_006,hybrid,technology_society,12,1843
essay_007,hybrid,education_policy,3,499
essay_008,hybrid,electoral_systems,18,2121
essay_009,hybrid,environment,4,665
essay_010,hybrid,health_lifestyle,15,2152
essay_011,hybrid,technology_society,9,1478
essay_012,hybrid,education_policy,4,380
essay_013,hybrid,urban_planning,6,788
essay_014,hybrid,environment,6,486
essay_015,hybrid,health_lifestyle,5,775
essay_016,hybrid,technology_society,5,1237
essay_017,hybrid,education_policy,7,1233
essay_018,hybrid,electoral_systems,3,415
essay_019,hybrid,environment,12,1570
essay_020,hybrid,health_lifestyle,21,2476
